Date,Year,Area,Location,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,Hemisphere,Formated Date,Month
Reported  14-Jul-2016,2016.0,,Tiger Beach,Unprovoked,Bahamas,Diving,M,,Face bruised when partly blind shark collided with him,N,"Lemon shark, 9'",N,2016-07-14 00:00:00.000000,7.0
Reported 08-Jul-2016,2016.0,Canary Islands,"Las Teresitas, Tenerife",Unprovoked,Spain,Wading,F,10.0,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Angel shark,N,2016-07-08 00:00:00.000000,7.0
08-Jul-16,2016.0,California,"Capitola, Santa Cruz County",Boat,United States,Fishing,M,,"No injury. Hull bitten, tooth fragment recovered",N,White shark,N,2016-07-08 00:00:00.000000,7.0
07-Jul-16,2016.0,Massachusetts,"Off Gloucester, Essec County",Provoked,United States,Fishing,M,59.0,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,dogfish shark,N,2016-07-07 00:00:00.000000,7.0
07-Jul-16,2016.0,California,"Off Palos Verdes peninsula, Los Angeles County",Boat,United States,Fishing,M,,"No injury. Hull bitten, tooth fragment recovered",N,White shark,N,2016-07-07 00:00:00.000000,7.0
06-Jul-16,2016.0,Florida,"Melbourne Beach, Brevard County",Unprovoked,United States,Swimming,F,42.0,"Buttocks, thigh, left hand & wrist injured",N,Unknown,N,2016-07-06 00:00:00.000000,7.0
04-Jul-16,2016.0,Queensland,Palm Cove ,Provoked,Australia,Fishing,M,34.0,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,Tawny nurse shark,S,2016-07-04 00:00:00.000000,7.0
27-Jun-16,2016.0,South Carolina,Sullivan's Island,Unprovoked,United States,Other,M,35.0,Minor injury,N,3' to 4' shark,N,2016-06-27 00:00:00.000000,6.0
25-Jun-16,2016.0,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Unprovoked,United States,Surfing,M,11.0,Foot injured,N,Unknown,N,2016-06-25 00:00:00.000000,6.0
24-Jun-16,2016.0,Isla Provedencia,,Unprovoked,Colombia,Diving,M,59.0,Severe bite to right hand,N,"Caribbean reef shark, 4.5'",N,2016-06-24 00:00:00.000000,6.0
23-Jun-16,2016.0,Western Cape Province,Ryspunt,Unprovoked,South Africa,Fishing,M,43.0,Injuries to left leg & right hand,N,White shark,S,2016-06-23 00:00:00.000000,6.0
21-Jun-16,2016.0,South Carolina,"North Myrtle Beach, Horry County",Unprovoked,United States,Other,M,42.0,Lacerations and punctures to foot,N,3' to 5' shark,N,2016-06-21 00:00:00.000000,6.0
21-Jun-16,2016.0,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Unprovoked,United States,Wading,M,,Injuries to right calf,N,Unknown,N,2016-06-21 00:00:00.000000,6.0
15-Jun-16,2016.0,Hawaii,"Kalapaki Beach, Kauai",Unprovoked,United States,Surfing,M,,Single puncture wound to arm,N,3' to 4' shark,N,2016-06-15 00:00:00.000000,6.0
15-Jun-16,2016.0,Western Australia,Coral Bay,Provoked,Australia,Fishing,M,19.0,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,5' shark,S,2016-06-15 00:00:00.000000,6.0
14-Jun-16,2016.0,Texas,"Pirates Beach, Galveston",Unprovoked,United States,Other,F,6.0,Injury to lower leg,N,3' to 4' shark,N,2016-06-14 00:00:00.000000,6.0
11-Jun-16,2016.0,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Unprovoked,United States,Other,M,19.0,Laceration to wrist,N,3' shark,N,2016-06-11 00:00:00.000000,6.0
07-Jun-16,2016.0,South Carolina,"Folly Beach, Charleston County",Invalid,United States,Surfing,M,27.0,"No injury, board damaged",N,Said to involve an 8' shark but more likely damage caused by debris,N,2016-06-07 00:00:00.000000,6.0
05-Jun-16,2016.0,Florida,"Flagler Beach, Flagler County",Unprovoked,United States,Swimming,M,64.0,Leg bitten,N,Unknown,N,2016-06-05 00:00:00.000000,6.0
05-Jun-16,2016.0,Western Australia,Mindarie,Unprovoked,Australia,Diving,F,60.0,FATAL,Y,3+ m shark,S,2016-06-05 00:00:00.000000,6.0
04-Jun-16,2016.0,Suez,Ain Sokhna,Unprovoked,Egypt,Swimming,M,23.0,"Leg severely bitten, surgically amputated",N,Mako shark,N,2016-06-04 00:00:00.000000,6.0
02-Jun-16,2016.0,New South Wales,Kingscliff,Unprovoked,Australia,Fishing,M,,"No injury, but sharks repeatedly hit their fins and guns",,Bronze whaler sharks x 3,S,2016-06-02 00:00:00.000000,6.0
02-Jun-16,2016.0,," Côte-Blanche, Nouméa ",Unprovoked,New Caledonia,Surfing,M,,Laceration to heel,N,3 m shark,N,2016-06-02 00:00:00.000000,6.0
31-May-16,2016.0,Western Australia,"Falcon Beach, Mandurah",Unprovoked,Australia,Surfing,M,29.0,FATAL,Y,White shark,S,2016-05-31 00:00:00.000000,5.0
29-May-16,2016.0,California,"Corona Del Mar, Newport, Orange County",Unprovoked,United States,Swimming,F,52.0,Injuries to arm and shoulder,N,Unknown,N,2016-05-29 00:00:00.000000,5.0
29-May-16,2016.0,Florida,"Neptune, Duval County",Unprovoked,United States,Swimming,M,13.0,Injury to posterior right leg,N,5' shark,N,2016-05-29 00:00:00.000000,5.0
22-May-16,2016.0,Florida,"Vero Beach, Indian River County",Unprovoked,United States,Swimming,F,57.0,Puncture wounds to thigh,N,Unknown,N,2016-05-22 00:00:00.000000,5.0
21-May-16,2016.0,Florida,"St. Petersburg, Pinellas County",Unprovoked,United States,Swimming,F,22.0,Lacerations and puncture wounds to foot and ankle,N,"Bull shark, 4' to 5'",N,2016-05-21 00:00:00.000000,5.0
21-May-16,2016.0,Florida,"Hugenot Beach , Jacksonville, Duval County",Unprovoked,United States,Swimming,F,11.0,"Back, arm & hand injured",N,Unknown,N,2016-05-21 00:00:00.000000,5.0
18-May-16,2016.0,Florida,"Ponte Vedra, St. Johns County",Unprovoked,United States,Swimming,M,48.0,Ankle bitten,N,"Blacktip shark, 4'",N,2016-05-18 00:00:00.000000,5.0
15-May-16,2016.0,Florida,"Boca Raton, Palm Beach County",Provoked,United States,Other,F,23.0,Arm grabbed PROVOKED INCIDENT,N,"Nurse shark, 2'",N,2016-05-15 00:00:00.000000,5.0
03-May-16,2016.0,Hawaii,"Wailea Beach, Maui",Unprovoked,United States,Other,M,59.0,Minor lacerations to right shoulder,N,Unknown,N,2016-05-03 00:00:00.000000,5.0
02-May-16,2016.0,North Island,Cormandel,Provoked,New Zealand,Fishing,M,39.0,Foot bitten by landed shark PROVOKED INCIDENT,N,"Mako shark, 1.5 m [5'] ",N,2016-05-02 00:00:00.000000,5.0
25-Apr-16,2016.0,Bali,Balian,Unprovoked,Indonesia,Surfing,M,24.0,Elbow bitten,N,"Bull shark, 6'",S,2016-04-25 00:00:00.000000,4.0
23-Apr-16,2016.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,15.0,Minor injury to left foot,N,Unknown,N,2016-04-23 00:00:00.000000,4.0
22-Apr-16,2016.0,Western Cape Province,"Robberg Beach, Plettenberg Bay",Unprovoked,South Africa,Other,M,,"No injury, surf-ski bitten",N,White shark,S,2016-04-22 00:00:00.000000,4.0
