Date,Year,Area,Location,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,Hemisphere,Formated Date,Month
21-Jul-12,2012.0,Trinidad,"Off Radix Village, Mayoro County",Invalid,Trinidad and Tobago,Swimming,M,24.0,Probable drowning with post-mortem bite,Y,Unknown,N,2012-07-21 00:00:00.000000,7.0
19-Jul-12,2012.0,British Colombia,"Tofino, Vancouver",Invalid,Canada,Surfing,F,23.0,"Lacerations to 2 fingers, but shark involvement unconfirmed",N,"Salmon shark suspected, but unlikely",N,2012-07-19 00:00:00.000000,7.0
14-Jul-12,2012.0,Western Australia,Off Wedge Island,Unprovoked,Australia,Surfing,M,24.0,FATAL,Y,"White shark, 5m",S,2012-07-14 00:00:00.000000,7.0
08-Jul-12,2012.0,North Carolina,"North Topsail Beach, Onslow County",Unprovoked,United States,Swimming,F,43.0,Lacerations to right ankle and calf,N,Unknown,N,2012-07-08 00:00:00.000000,7.0
07-Jul-12,2012.0,Eleuthera,,Unprovoked,Bahamas,Fishing,M,,Lacerations to right leg,N,Unknown,N,2012-07-07 00:00:00.000000,7.0
07-Jul-12,2012.0,Victoria,Ship's Graveyard off Point Lonsdale,Invalid,Australia,Diving,F,42.0,Cause of death was drowning & preceded shark involvement,Y,Unknown,S,2012-07-07 00:00:00.000000,7.0
07-Jul-12,2012.0,California,"Pleasure Point, Santa Cruz County",Unprovoked,United States,Other,M,52.0,"No injury, kayak bitten",N,14' to 18'shark,N,2012-07-07 00:00:00.000000,7.0
06-Jul-12,2012.0,Western Cape Province,"Sandstrand, Jongensfontein",Unprovoked,South Africa,Surfing,M,29.0,Lacerattions to left thigh & knee,N,15' shark,S,2012-07-06 00:00:00.000000,7.0
Reported 28-Jun-2012,2012.0,,Buccari Bay,Invalid,Croatia,Swimming,,60.0,"Leg struck. Initally reported as a shark attack, but involved a swordfish",N,No shark involvement,N,2012-06-28 00:00:00.000000,6.0
26-Jun-12,2012.0,Florida,"Juno Beach, Palm Beach County",Unprovoked,United States,Swimming,M,6.0,Thigh bitten,N,possibly a bull shark,N,2012-06-26 00:00:00.000000,6.0
26-Jun-12,2012.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,26.0,Nip to left foot,N,Unknown,N,2012-06-26 00:00:00.000000,6.0
26-Jun-12,2012.0,Hawaii,"Kahana Beach, Maui",Unprovoked,United States,Other,F,16.0,Laceration to left calf,N,a small reef shark,N,2012-06-26 00:00:00.000000,6.0
22-Jun-12,2012.0,Tasmania,South Cape Bay,Unprovoked,Australia,Surfing,M,,"Knocked off board, shark bit nose off surfboard",N,Unknown,S,2012-06-22 00:00:00.000000,6.0
22-Jun-12,2012.0,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Unprovoked,United States,Swimming,M,12.0,Minor injury,N,Unknown,N,2012-06-22 00:00:00.000000,6.0
20-Jun-12,2012.0,Western Australia,"Mullaloo Beach, Perth",Unprovoked,Australia,Other,M,62.0,"No injury, ski severely damaged",N,3 m shark,S,2012-06-20 00:00:00.000000,6.0
19-Jun-12,2012.0,South Carolina,"Myrtle Beach, Horry County",Invalid,United States,Other,M,16.0,"Laceration to foot. Injured by a stingray, not a shark",N,No shark involvement,N,2012-06-19 00:00:00.000000,6.0
18-Jun-12,2012.0,North Carolina,"Ocean Isle, Brunswick County",Unprovoked,United States,Wading,F,6.0,Numerous puncture wounds to leg ,N,Unknown,N,2012-06-18 00:00:00.000000,6.0
15-Jun-12,2012.0,Florida,"Summerland Key, Monroe County",Provoked,United States,Fishing,M,23.0,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,Nurse shark,N,2012-06-15 00:00:00.000000,6.0
14-Jun-12,2012.0,South Carolina,"Myrtle Beach, Horry County",Unprovoked,United States,Swimming,F,18.0,Foot & hand bitten,N,small blacktip shark?,N,2012-06-14 00:00:00.000000,6.0
14-Jun-12,2012.0,South Carolina,"Myrtle Beach, Horry County",Unprovoked,United States,Swimming,M,,Minor injury,N,Shark involvement not confirmed,N,2012-06-14 00:00:00.000000,6.0
14-Jun-12,2012.0,South Carolina,"Myrtle Beach, Horry County",Unprovoked,United States,Swimming,M,,Calf bitten,N,small blacktip shark?,N,2012-06-14 00:00:00.000000,6.0
14-Jun-12,2012.0,South Carolina,"Myrtle Beach, Horry County",Unprovoked,United States,Swimming,M,16.0,Laceration to right foot,N,Blacktip shark ,N,2012-06-14 00:00:00.000000,6.0
12-Jun-12,2012.0,Victoria,Port Campbell,Unprovoked,Australia,Surfing,M,42.0,Laceration to right foot,N,1.5 m shark,S,2012-06-12 00:00:00.000000,6.0
10-Jun-12,2012.0,Sardinia,Muravera,Provoked,Italy,Other,M,57.0,Lower left leg injured PROVOKED ACCIDENT,N,"Blue shark, 2.5m",N,2012-06-10 00:00:00.000000,6.0
03-Jun-12,2012.0,New South Wales,"Redhead Beach, Newcastle",Unprovoked,Australia,Other,M,30.0,"No injury, ski bitten",N,"White shark, 2 m",S,2012-06-03 00:00:00.000000,6.0
02-Jun-12,2012.0,Florida,"Bethune Beach, Volusia County",Unprovoked,United States,Surfing,F,12.0,Laceration to thigh,N,Unknown,N,2012-06-02 00:00:00.000000,6.0
02-Jun-12,2012.0,South Carolina,"Myrtle Beach, Horry County",Unprovoked,United States,Other,M,25.0,Severe laceration to foot,N,Unknown,N,2012-06-02 00:00:00.000000,6.0
31-May-12,2012.0,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Unprovoked,United States,Wading,F,33.0,Foot bitten,N,"18"" to 24"" shark",N,2012-05-31 00:00:00.000000,5.0
29-May-12,2012.0,Guerrero," Boca de la Leña, La Unión",Unprovoked,Mexico,Fishing,M,46.0,Left hand severed,N,"Bull shark, 3m",N,2012-05-29 00:00:00.000000,5.0
23-May-12,2012.0,Florida,"Jacksonville, Duval County",Unprovoked,United States,Surfing,M,22.0,Lacerations to foot,N,4' to 5' shark,N,2012-05-23 00:00:00.000000,5.0
20-May-12,2012.0,Hawaii,"Iroquiois Point, Oahu",Unprovoked,United States,Fishing,M,,"No injury, teethmarks in kayak",N,"Tiger shark, 8' to 9' ",N,2012-05-20 00:00:00.000000,5.0
16-May-12,2012.0,,Matacucu Reef ,Unprovoked,Fiji,Fishing,M,20.0,Lacerations to head,N,Unknown,S,2012-05-16 00:00:00.000000,5.0
12-May-12,2012.0,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Unprovoked,United States,Fishing,M,30.0,"No injury, kayaker fell in the water when kayak bitten by a shark",N,White shark,N,2012-05-12 00:00:00.000000,5.0
09-May-12,2012.0,Florida,"Vero Beach, Indian River County",Unprovoked,United States,Swimming,F,47.0,Upper left thigh bitten,N,Unknown,N,2012-05-09 00:00:00.000000,5.0
06-May-12,2012.0,California,Off Catalina Island,Unprovoked,United States,Other,F,15.0,"No injury, shark bit paddleboard",N,White shark,N,2012-05-06 00:00:00.000000,5.0
19-Apr-12,2012.0,Florida,"Indialantic, Brevard County",Unprovoked,United States,Surfing,M,28.0,Lacerations to hand,N,5' shark,N,2012-04-19 00:00:00.000000,4.0
19-Apr-12,2012.0,Western Cape Province,Caves near Kogel Bay,Unprovoked,South Africa,Other,M,20.0,FATAL,Y,"White shark, 4 m to 5m ",S,2012-04-19 00:00:00.000000,4.0
11-Apr-12,2012.0,South Australia,"Dolphin Bay, Innes National Park",Unprovoked,Australia,Other,M,27.0,Minor wound to his thigh when shark bit kayak,N,"White shark, 6m ",S,2012-04-11 00:00:00.000000,4.0
03-Apr-12,2012.0,Hawaii,"Leftovers near Chun's Reef, Oahu",Unprovoked,United States,Surfing,M,28.0,Lacerations to left foot,N,"Tiger shark, 10'  ",N,2012-04-03 00:00:00.000000,4.0
Apr-13,,Florida,"Sanibel Island, Lee County",Unprovoked,United States,Other,M,,Right shin bitten,N,a small shark,N,,
31-Mar-12,2012.0,Western Australia,Stratham Beach,Unprovoked,Australia,Diving,M,33.0,FATAL,Y,"White shark, 4m ",S,2012-03-31 00:00:00.000000,3.0
24-Mar-12,2012.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,21.0,Minor lacerations to foot,N,Unknown,N,2012-03-24 00:00:00.000000,3.0
22-Mar-12,2012.0,Western Australia,Kalbarri,Boat,Australia,Fishing,,,"No injury to occupants. Shark bit propelle, rope & crayfish float",N,White shark,S,2012-03-22 00:00:00.000000,3.0
20-Mar-12,2012.0,Queensland,Nobby's Beach,Unprovoked,Australia,Surfing,M,20.0,Lacerations to left calf,N,Possibly a bull shark,S,2012-03-20 00:00:00.000000,3.0
15-Mar-12,2012.0,Florida,"Jensen Beach, Martin County ",Unprovoked,United States,Surfing,M,61.0,Left forearm bitten,N,Possibly a 5' to 6' bull shark,N,2012-03-15 00:00:00.000000,3.0
14-Mar-12,2012.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,F,15.0,Bitten on ankle,N,4' to 5' shark,N,2012-03-14 00:00:00.000000,3.0
14-Mar-12,2012.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,17.0,Bitten on calf,N,4' to 5' shark,N,2012-03-14 00:00:00.000000,3.0
06-Mar-12,2012.0,North Island,"Opunake, Taranake",Unprovoked,New Zealand,Surfing,M,,Lacerations to left calf,N,Unknown,N,2012-03-06 00:00:00.000000,3.0
06-Mar-12,2012.0,Victoria,"Shipwreck Cove, Melbourne Aquarium",Provoked,Australia,Diving,F,34.0,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,"Tawny nurse shark, 40cm",S,2012-03-06 00:00:00.000000,3.0
05-Mar-12,2012.0,Saint-Benoit,Port de la Marine,Unprovoked,Reunion,Other,M,31.0,"No injury, board bitten",N,Unknown,S,2012-03-05 00:00:00.000000,3.0
04-Mar-12,2012.0,Florida,"Playalinda Beach, Brevard County",Unprovoked,United States,Surfing,M,19.0,Lacerations to left calf,N,4' shark,N,2012-03-04 00:00:00.000000,3.0
03-Mar-12,2012.0,Tabuk Province,Off Duba,Invalid,Saudi Arabia,Other,M,42.0,Harassed by sharks but not injured by them,N,Unknown,N,2012-03-03 00:00:00.000000,3.0
01-Mar-12,2012.0,Antofagasta Province,Antofagasta,Provoked,Chile,Fishing,M,,Hand injured PROVOKED INCIDENT,N,Unknown,S,2012-03-01 00:00:00.000000,3.0
26-Feb-12,2012.0,Florida,"Palm Beach Inlet, Palm Beach County",Provoked,United States,Surfing,M,,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,Spinner shark,N,2012-02-26 00:00:00.000000,2.0
25-Feb-12,2012.0,New South Wales,Broughton Island,Unprovoked,Australia,Fishing,M,,Laceration to left foot,N,Grey nurse shark,S,2012-02-25 00:00:00.000000,2.0
20-Feb-12,2012.0,Western Cape Province,Strandfontein,Boat,South Africa,Fishing,,,"No injury to occupants, boat damaged",N,"White shark, 7m",S,2012-02-20 00:00:00.000000,2.0
06-Feb-12,2012.0,Queensland,Wurtulla,Unprovoked,Australia,Surfing,M,29.0,"No injury, but fin lost from surfboard",N,Unknown,S,2012-02-06 00:00:00.000000,2.0
Reported 22-Jan-2012,2012.0,,Cat Island,Unprovoked,Bahamas,Diving,M,,"No injury, shark grabbed his camera",N,Tiger shark,N,2012-01-22 00:00:00.000000,1.0
27-Jan-12,2012.0,Hawaii,Lanai,Unprovoked,United States,Other,,,"No injury, shark bit swim fin",N,6' to 8' shark,N,2012-01-27 00:00:00.000000,1.0
19-Jan-12,2012.0,Western Australia,Coral Bay,Unprovoked,Australia,Other,M,26.0,Lacerations to right forearm,N,"Tiger shark, 3m",S,2012-01-19 00:00:00.000000,1.0
18-Jan-12,2012.0,Taitung ,Taimali,Provoked,Taiwan,Fishing,M,24.0,Bitten on left thigh     PROVOKED ACCIDENT,N,"Blue shark, 70-kg blue shark",N,2012-01-18 00:00:00.000000,1.0
18-Jan-12,2012.0,New South Wales,Redhead Beach,Unprovoked,Australia,Surfing,M,44.0,Lacerations to thigh,N,"White shark, 2.7 m",S,2012-01-18 00:00:00.000000,1.0
15-Jan-12,2012.0,Eastern Cape Province,"Second Beach, Port St. Johns",Unprovoked,South Africa,Swimming,M,25.0,FATAL,Y,Thought to involve a bull shark,S,2012-01-15 00:00:00.000000,1.0
13-Jan-12,2012.0,Oregon,"Lincoln City, Lincoln County",Unprovoked,United States,Surfing,M,53.0,"No injury, surfboard damaged",N,White shark,N,2012-01-13 00:00:00.000000,1.0
03-Jan-12,2012.0,New South Wales,North Avoca Beach,Unprovoked,Australia,Surfing,M,28.0,Right forearm and wrist injured,N,2 m shark,S,2012-01-03 00:00:00.000000,1.0
02-Jan-12,2012.0,Queensland,Duranbah,Unprovoked,Australia,Fishing,M,34.0,"No injury, punctures to swim fin",N,Allegedly a 4 m tiger shark,S,2012-01-02 00:00:00.000000,1.0
31-Dec-11,2011.0,Florida,"Jupiter, Palm Beach County",Unprovoked,United States,Other,M,,Hand injured,N,Unknown,N,2011-12-31 00:00:00.000000,12.0
Reported 26-Dec-2011,2011.0,St John's,Fort James Beach,Invalid,Antigua,Swimming,M,,Bitten on right hand & wrist,N,Shark involvement not confirmed,N,2011-12-26 00:00:00.000000,12.0
25-Dec-11,2011.0,Santa Elena,Barandúa Beach,Unprovoked,Ecuador,Surfing,M,23.0,Lacerations to left thigh and calf,N,Unknown,S,2011-12-25 00:00:00.000000,12.0
23-Dec-11,2011.0,Florida,New Smyrna Beach,Unprovoked,United States,Surfing,M,27.0,Laceration to ankle,N,Unknown,N,2011-12-23 00:00:00.000000,12.0
21-Dec-11,2011.0,Hawaii,"Makahuena Point, Kauai",Provoked,United States,Other,M,,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT",N,7' to 8' shark ,N,2011-12-21 00:00:00.000000,12.0
21-Dec-11,2011.0,Eastern Cape Province,"Noordhoek, Port Elizabeth",Unprovoked,South Africa,Fishing,M,35.0,No injury but kayak dented,N,Unknown,S,2011-12-21 00:00:00.000000,12.0
11-Dec-11,2011.0,New South Wales,Angourie,Unprovoked,Australia,Surfing,M,51.0,5 puncture wounds to thigh,N,"White shark, 2.5m",S,2011-12-11 00:00:00.000000,12.0
07-Dec-11,2011.0,KwaZulu-Natal,Between Sodwana & Cape Vidal,Invalid,South Africa,Other,M,,"No injury, ski damaged",N,Shark involvement not confirmed,S,2011-12-07 00:00:00.000000,12.0
07-Dec-11,2011.0,New South Wales,Maroubra,Unprovoked,Australia,Surfing,M,14.0,Minor injuries to left leg ,N,Wobbegong shark,S,2011-12-07 00:00:00.000000,12.0
06-Dec-11,2011.0,Oregon,Seaside Cove,Unprovoked,United States,Surfing,F,,Minor injury to calf ,N,Unknown,N,2011-12-06 00:00:00.000000,12.0
05-Dec-11,2011.0,Queensland,Bushy Ilet,Invalid,Australia,Fishing,,,Killed by a shark or crocodile.,Y,Shark involvement not confirmed,S,2011-12-05 00:00:00.000000,12.0
02-Dec-11,2011.0,New South Wales,Broken Head,Unprovoked,Australia,Surfing,M,63.0,Torn shoulder ligament as result of collision with shark,N,Unknown,S,2011-12-02 00:00:00.000000,12.0
29-Nov-11,2011.0,Bali,Tabanan,Unprovoked,Indonesia,Surfing,M,18.0,Lacerations to right hand,N,Unknown,S,2011-11-29 00:00:00.000000,11.0
28-Nov-11,2011.0,Queensland,Peregian,Unprovoked,Australia,Swimming,M,10.0,Puncture marks to foot,N,Wobbegong shark?,S,2011-11-28 00:00:00.000000,11.0
22-Nov-11,2011.0,California,Pigeon Point,Unprovoked,United States,Other,M,,"No injury, kayak bitten",N,"White shark, 15' to 16'",N,2011-11-22 00:00:00.000000,11.0
Reported 20-Nov-2011,2011.0,East New Britain,Pigeon Island,Unprovoked,Papua New Guinea,Diving,M,,"No injury, shark collided with diver",N,Unknown,S,2011-11-20 00:00:00.000000,11.0
12-Nov-11,2011.0,Pernambuco,"Punta Del Chifre Beach, Olinda",Unprovoked,Brazil,Surfing,M,35.0,Legs bitten,N,Unknown,S,2011-11-12 00:00:00.000000,11.0
11-Nov-11,2011.0,Bois-Blanc ,Sainte-Rose,Unprovoked,Reunion,Fishing,M,42.0,Left foot bitten,N,Unknown,S,2011-11-11 00:00:00.000000,11.0
  29-Oct-2011,2011.0,California,"Marina State Beach, Monterey County",Unprovoked,United States,Surfing,M,27.0,"Lacerations to right wrist, foream & neck",N,White shark,N,2011-10-29 00:00:00.000000,10.0
Reported 28-Oct-2011,2011.0,Moray,Spey Bay,Unprovoked,United Kingdom,Surfing,M,26.0,"No injury, shark bumped leg & board. ",N,8' to 10' shark,N,2011-10-28 00:00:00.000000,10.0
  29-Oct-2011,2011.0,KwaZulu-Natal,"uShaka Aquarium, Durban",Provoked,South Africa,Diving,,,Arm bitten by captive shark PROVOKED INCIDENT,N,Raggedtooth shark,S,2011-10-29 00:00:00.000000,10.0
22-Oct-11,2011.0,Western Australia,Rottnest Island,Unprovoked,Australia,Diving,M,32.0,FATAL,Y,"White shark, 10'",S,2011-10-22 00:00:00.000000,10.0
20-Oct-11,2011.0,Oregon,"Newport, Lincoln County",Unprovoked,United States,Surfing,M,41.0,"No injury, shark bit surfboard",N,"White shark, 15'",N,2011-10-20 00:00:00.000000,10.0
19-Oct-11,2011.0,Victoria,Elwood Beach,Unprovoked,Australia,Diving,M,50.0,Small bruise to calf,N,"Port Jackson shark, 1m",S,2011-10-19 00:00:00.000000,10.0
11-Oct-11,2011.0,Florida,Cape Canaveral,Unprovoked,United States,Surfing,M,,Foot bitten,N,3' shark,N,2011-10-11 00:00:00.000000,10.0
10-Oct-11,2011.0,Oregon,Seaside,Unprovoked,United States,Surfing,M,,No injury,N,10' to 12' shark,N,2011-10-10 00:00:00.000000,10.0
09-Oct-11,2011.0,Western Australia,Cottesloe Beach,Unprovoked,Australia,Swimming,M,64.0,FATAL,Y,Unknown,S,2011-10-09 00:00:00.000000,10.0
05-Oct-11,2011.0,,Cap La Houssaye,Boat,Reunion,Other,M,51.0,No injury to occupant,N,2 to 2.5 m shark,S,2011-10-05 00:00:00.000000,10.0
02-Oct-11,2011.0,Florida,"Santa Maria Island, Manatee County",Unprovoked,United States,Fishing,M,,Minor injury to thigh,N,Unknown,N,2011-10-02 00:00:00.000000,10.0
01-Oct-11,2011.0,Alabama,"Gulf Shores, Baldwin County",Unprovoked,United States,Other,M,29.0,Lacerations to right wrist and middle finger,N,Unknown,N,2011-10-01 00:00:00.000000,10.0
30-Sep-11,2011.0,Puerto Rico,Hatillo Beach,Invalid,United States,Surfing,M,27.0,Lacerations to lower right leg ,N,No shark involvement,N,2011-09-30 00:00:00.000000,9.0
28-Sep-11,2011.0,Samaná Province,Playa Jackson ,Provoked,Dominican Republic,Fishing,M,48.0,Severe injuries to left arm PROVOKED INCIDENT,N,Unknown,N,2011-09-28 00:00:00.000000,9.0
28-Sep-11,2011.0,Western Cape Province,Clovely Beach,Unprovoked,South Africa,Swimming,M,43.0,"Right leg severed, left leg lacerated",N,White shark,S,2011-09-28 00:00:00.000000,9.0
24-Sep-11,2011.0,Florida,"Santa Maria Island, Manatee County",Unprovoked,United States,Fishing,M,21.0,Laceration to left thigh,N,"Bull shark, 6'",N,2011-09-24 00:00:00.000000,9.0
24-Sep-11,2011.0,South Carolina,"North Myrtle Beach, Horry County",Unprovoked,United States,Other,M,5.0,Laceration to left thigh,N,Unknown,N,2011-09-24 00:00:00.000000,9.0
20-Sep-11,2011.0,Hawaii,Kauai,Boat,United States,Other,M,,"No injury, canoe bitten by shark",N,Unknown,N,2011-09-20 00:00:00.000000,9.0
19-Sep-11,2011.0,Saint-Gilles,Boucan-Canot,Unprovoked,Reunion,Other,M,38.0,FATAL,Y,Unknown,S,2011-09-19 00:00:00.000000,9.0
17-Sep-11,2011.0,Coast Province,"Mama Ngina Beach, Mombasa ",Unprovoked,Kenya,Swimming,M,17.0,FATAL,Y,Unknown,N,2011-09-17 00:00:00.000000,9.0
16-Sep-11,2011.0,Florida,New Smyrna Beach,Unprovoked,United States,Surfing,M,25.0,Lacerations to arm,N,4' to 6' shark,N,2011-09-16 00:00:00.000000,9.0
11-Sep-11,2011.0,California,"Samoa Beach, Humboldt County",Unprovoked,United States,Surfing,M,37.0,"No injury, board bitten",N,Unknown,N,2011-09-11 00:00:00.000000,9.0
11-Sep-11,2011.0,Central Province,"Hula, near Port Moresby",Unprovoked,Papua New Guinea,Surfing,M,30.0,Lacerations to right leg,N,"Tiger shark, 2m",S,2011-09-11 00:00:00.000000,9.0
04-Sep-11,2011.0,Hawaii,"Nimitz State Beach, Oahu",Unprovoked,United States,Surfing,,,"No injury, shark bit surfboard",N,Unknown,N,2011-09-04 00:00:00.000000,9.0
04-Sep-11,2011.0,Western Australia, Bunker Bay,Unprovoked,Australia,Other,M,21.0,FATAL,Y,White shark,S,2011-09-04 00:00:00.000000,9.0
02-Sep-11,2011.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,19.0,Lacerations to ankle & foot,N,"6' shark, possibly a blactip or spinner shark",N,2011-09-02 00:00:00.000000,9.0
31-Aug-11,2011.0,Florida,Crescent Beach St. Johns County,Unprovoked,United States,Surfing,M,19.0,Lacerations to lower leg,N,6' shark,N,2011-08-31 00:00:00.000000,8.0
28-Aug-11,2011.0,Queensland,Fantome Island,Invalid,Australia,Swimming,M,48.0,FATAL,Y,Shark involvement prior to death not confirmed,S,2011-08-28 00:00:00.000000,8.0
28-Aug-11,2011.0,Texas,"Grass Island, Aransas County",Unprovoked,United States,Fishing,F,39.0,"Lacerations to anterior left shin, abrasion to posteior right leg",N,Unknown,N,2011-08-28 00:00:00.000000,8.0
26-Aug-11,2011.0,Primorsky Krai,Slavyanka,Unprovoked,Russia,Other,M,,Superficial laceration to shoulder,N,Unknown,N,2011-08-26 00:00:00.000000,8.0
24-Aug-11,2011.0,North Carolina,"Buxton Beach, Dare County",Unprovoked,United States,Surfing,M,21.0,Lacerations to foot,N,Unknown,N,2011-08-24 00:00:00.000000,8.0
24-Aug-11,2011.0,North Carolina,Holden Beach. Brunswick County,Unprovoked,United States,Other,M,10.0,Heel bitten,N,Unknown,N,2011-08-24 00:00:00.000000,8.0
23-Aug-11,2011.0,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",Unprovoked,South Africa,Surfing,M,49.0,FATAL,Y,"White shark, >6'",S,2011-08-23 00:00:00.000000,8.0
18-Aug-11,2011.0,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,Unprovoked,Russia,Swimming,M,16.0,"Lacerations to hip, thigh and knee",N,Unknown,N,2011-08-18 00:00:00.000000,8.0
17-Aug-11,2011.0,North Carolina,"Kure Beach, New Hanover County",Unprovoked,United States,Wading,F,25.0,Lacerations to foot,N,Possibly a 5' to 6' sandtiger shark,N,2011-08-17 00:00:00.000000,8.0
17-Aug-11,2011.0,North Carolina,"Wrightsville Beach, New Hanover County",Invalid,United States,Other,M,12.0,Abrasions to left hand,N,Shark involvement not confirmed,N,2011-08-17 00:00:00.000000,8.0
17-Aug-11,2011.0,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,Unprovoked,Russia,Swimming,M,25.0,Hands severed,N,4 m shark,N,2011-08-17 00:00:00.000000,8.0
16-Aug-11,2011.0,Society Islands,"Teahupoo, Tahiti",Unprovoked,French Polynesia,Surfing,M,32.0,"No injury, board bitten",N,Grey reef shark ,N,2011-08-16 00:00:00.000000,8.0
16-Aug--2011,2011.0,Puerto Rico, Vieques,Unprovoked,United States,Other,M,27.0,Lacerations to  lower right leg and foot,N,Unknown,N,2011-08-16 00:00:00.000000,8.0
16-Aug-11,2011.0,Praslin,Anse Lazio ,Unprovoked,Seychelles,Swimming,M,30.0,FATAL,Y,"Bull shark, 6'",S,2011-08-16 00:00:00.000000,8.0
15-Aug-11,2011.0,South Carolina,"Myrtle Beach, Horry County",Invalid,United States,Other,M,7.0,Puncture wounds to foot,N,Shark involvement not confirmed,N,2011-08-15 00:00:00.000000,8.0
11-Aug--2011,2011.0,North Carolina,Beaufort Inlet,Unprovoked,United States,Swimming,M,54.0,Lower right leg bitten,N,Unknown,N,2011-08-11 00:00:00.000000,8.0
01-Aug-11,2011.0,Praslin,Anse Lazio ,Unprovoked,Seychelles,Diving,M,36.0,FATAL,Y,Unknown,S,2011-08-01 00:00:00.000000,8.0
31-Jul-11,2011.0,Pernambuco,Praia do Pina,Invalid,Brazil,Swimming,M,14.0,Cause of death may have been drowning; remains scavenged by sharks,Y,Shark involvement prior to death not confirmed,S,2011-07-31 00:00:00.000000,7.0
30-Jul-11,2011.0,,,Sea Disaster,Philippines,Other,M,43.0,The two Malabagos were bitten by sharks but survived. The other occupants of the boat  were rescued.,N,Unknown,N,2011-07-30 00:00:00.000000,7.0
25-Jul-11,2011.0,New Jersey,"Egg Harbor, Atlantic County",Unprovoked,United States,Fishing,M,,"No injury, shark bit boot",N,Unknown,N,2011-07-25 00:00:00.000000,7.0
22-Jul-11,2011.0,Eastern Cape Province,"Cintza Beach, East London",Unprovoked,South Africa,Surfing,M,29.0,Upper left arm & right leg bitten,N,"White shark, 3m to 4m",S,2011-07-22 00:00:00.000000,7.0
19-Jul-11,2011.0,North Carolina,"Ocracoke Island, Hyde County",Unprovoked,United States,Other,F,6.0,Lower right leg & foot bitten,N,Unknown,N,2011-07-19 00:00:00.000000,7.0
15-Jul-11,2011.0,Saint-Gilles,Brisants. ,Unprovoked,Reunion,Other,M,,No injury,N,Unknown,S,2011-07-15 00:00:00.000000,7.0
13-Jul-11,2011.0,Texas,"South Padre Island, Cameron County",Unprovoked,United States,Fishing,M,,Lacerations to left foot,N,Unknown,N,2011-07-13 00:00:00.000000,7.0
13-Jul-11,2011.0,Grand Bahama Island,Off Lucaya,Unprovoked,Bahamas,Diving,M,54.0,Injuries to arm,N,Unknown,N,2011-07-13 00:00:00.000000,7.0
07-Jul-11,2011.0,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Unprovoked,United States,Swimming,M,12.0,Foot bitten,N,Unknown,N,2011-07-07 00:00:00.000000,7.0
07-Jul-11,2011.0,Texas,"Mustang Island, Nueces County",Unprovoked,United States,Fishing,M,14.0,Lacerations to right foot,N,Unknown,N,2011-07-07 00:00:00.000000,7.0
06-Jul-11,2011.0,Saint-Gilles,Roches Noires,Unprovoked,Reunion,Surfing,M,16.0,Minor injuries: scratches on nose & ankle. Board broken in two,N,Unknown,S,2011-07-06 00:00:00.000000,7.0
05-Jul-11,2011.0,Sucre,"Libertad, San Onofre",Unprovoked,Colombia,Other,M,17.0,"Right arm bitten, defense wounds to left hand",N,Unknown,N,2011-07-05 00:00:00.000000,7.0
30-Jun-11,2011.0,Middle Caicos,Mudjin Harbor,Unprovoked,Turks & Caicos,Other,M,28.0,Lacerations to left shoulder and back,N,Unknown,N,2011-06-30 00:00:00.000000,6.0
29-Jun-11,2011.0,Pernambuco,Praia do Pina,Unprovoked,Brazil,Surfing,M,21.0,Lacerations to right thigh,N,Unknown,S,2011-06-29 00:00:00.000000,6.0
28-Jun-11,2011.0,KwaZulu-Natal,Aliwal Shoal,Unprovoked,South Africa,Diving,M,22.0,Lacerations to left leg and hands,N,"Dusky shark, 3m",S,2011-06-28 00:00:00.000000,6.0
26-Jun-08,2008.0,North Carolina,"North Topsail Beach, Onslow County",Unprovoked,United States,Other,F,10.0,Ankle bitten,N,"Bull shark, 6'",N,2008-06-26 00:00:00.000000,6.0
24-Jun-11,2011.0,California,"San Onofre State Beach, San Diego County",Unprovoked,United States,Surfing,M,,Shark leapt onto surfboard; surfer uninjured ,N,"White shark, 5' k",N,2011-06-24 00:00:00.000000,6.0
21-Jun-11,2011.0,Florida,"Perdido Key, Escambia County",Unprovoked,United States,Other,M,20.0,Lacerations to foot and ankle,N,Unknown,N,2011-06-21 00:00:00.000000,6.0
